,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
394,Armourer,Mural,In place,780 East Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=699,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5e771a72dcb2572134cb2554e88a769c,DowntownEastside,,2016,"49.281801, -123.087695"
395,Wavy Wetcoast,Mural,In place,780 East Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=700,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d9a61a660e140b82d9152c1695df4c54,DowntownEastside,,2016,"49.281801, -123.087695"
396,Tidal Recall,Mural,In place,780 East Cordova,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=702,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7e6e026e477da850cb9eafa6d901d9e7,DowntownEastside,,2016,"49.281801, -123.087695"
397,The Missing Piece,Mural,In place,5 East 8th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=706,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6443cf4e0af716ecf43b282ff5320b82,Mount Pleasant,,2016,"49.264005, -123.104217"
398,Stillness,Mural,In place,153 East 8th Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=707,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/519f77d3afacfb31f75fac08fd2f5421,Mount Pleasant,,2016,"49.263875, -123.101615"
399,Tag People,Mural,In place,333 East Broadway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=709,,Mount Pleasant,,2016,"49.263048, -123.098153"
400,Playtime,Sculpture,In place,4480 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=715,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cd20c9d049c50b8cee9d13a18d835dd5,Shaughnessy,"Playtime is a family of sculptural forms that are located in the Family Commons along Heather Street and 30th Avenue, creating an inviting public space along the Wellness Walkway at the BC Children's Hospital and BC Women's Hospital and Health Centre. As 'play-sculptures' that combine modernist sculpture, mid-century playground designs, and monochrome patterns, these sensuous organic forms will invite a more physical engagement than is normally allowed with public art, providing occasions for children, families, and staff to play. The vision of the artists is to engage audiences of all ages and abilities with the sculptures' tactile qualities and lift their spirits with their humour and playfulness, creating a transition zone between the everyday and the extraordinary.Playtime is originally inspired by the 'play-sculptures' of English sculptor John Bridgeman (1916-2004) and Danish architect and sculptor Egon Moller-Nielsen (1915-1959), the work of Henry Moore, and two female artists, Barbara Hepworth (1903-1975) and Bridget Riley (1931-present), all of whom were producing works around the same time.",2016,"49.244555, -123.1209"
402,The Point,Sculpture,In place,1768 Cook Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=725,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/aec9750155ada48a1dcf9757b199980f,Mount Pleasant,"A 20 foot tall metal post festooned with arrows and implements pointing in many directions. At grade four metal crates provide seating to visitors of the plaza.

The Point was commissioned by Concord Pacific as part of their participation in the City of Vancouver&#39;s Public Art Program for Private Development.",2021,"49.27018, -123.10958"
403,EITHER / OR,Sculpture,No longer in place,1128 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=728,,West End,"Hong Kong artist Tsang Kin-Wah critically addresses some of the complexitiessurrounding migration, cultural identity and racism in these site-specific works. AtVancouver Art Gallery’s public art space, Offsite Tsang presents a large-scalecomposition using English texts to form floral and animal patterns.Deceitfully decorative, the content draws from discriminatory language that appearedin newspapers and political campaigns in Vancouver during the 1887 anti -Chineseriots, the mid-1980s immigration from Hong Kong and most recently, the heatedexchanges around the foreign buyers and the local housing market.Tsang’s work combines foul language with beautiful patterns to confront the reality ofignorance that often exists within cities that boast of their multiculturalism and diversity. Tsang covers the walls of Offsite with text composed of adverse rhetoric ofVancouver newspaper editorial columns from the 1980s but also contrasts it withvoices of inclusion to compose floral patterns that unravel to form the body of adragon.",2017,"49.285762, -123.123947"
404,Sea to Sky,Two-dimensional artwork,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=738,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d0594fa9bd85526f6bd62852492b7829,Downtown,"The City of Vancouver, as part of its Canada 150+ program, commissioned a series of six paint and print murals created by Indigenous artists and artist teams. The public art is part of the City’s ongoing commitment to reconciliation and strengthening of relations between Indigenous communities and Vancouverites.The murals, banners and transparencies were commissioned as part of the City of Vancouver's commemoration of the sesquicentennial of Canada's confederation. Vancouver refocused the national celebration on its indigenous peoples and First Nations, who long precede confederation, and whose resurgence will continue long past the anniversary--hence ""150+"".The public art program issued a call for murals in January 2017. The six successful applicant teams were reviewed and chosen by a selection panel of Indigenous artists and art professionals.The projects were realized throughout the city centre, including projects at the central library, Queen Elizabeth Theatre and its plaza, the headhouse of a Canada Line station, a laneway on the Downtown Eastside, and the lot where the Kanata Fest and the Drum Is Calling Festival were held.Works variously drew from Coast Salish, formline, and Woodland School forms, presented portraits mixing contemporary and traditional clothing and regalia, and collaged photographic images into abstracted compositions.Commissioned in the spirit of Reconcilation, the project served to increase Indigenous visibility on the unceded territories of the Musqueam, Squamish, and Tsleil-Waututh Nations now known as Vancouver.",2017,"49.279993, -123.113948"
405,Time Immemorial,Two-dimensional artwork,No longer in place,350 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=740,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f1edbb849e916735f031bff948545478,Downtown,"The City of Vancouver, as part of its Canada 150+ program, commissioned a series of six paint and print murals created by Indigenous artists and artist teams. The public art is part of the City’s ongoing commitment to reconciliation and strengthening of relations between Indigenous communities and Vancouverites.The murals, banners and transparencies were commissioned as part of the City of Vancouver's commemoration of the sesquicentennial of Canada's confederation. Vancouver refocused the national celebration on its indigenous peoples and First Nations, who long precede confederation, and whose resurgence will continue long past the anniversary--hence ""150+"".The public art program issued a call for murals in January 2017. The six successful applicant teams were reviewed and chosen by a selection panel of Indigenous artists and art professionals.The projects were realized throughout the city centre, including projects at the central library, Queen Elizabeth Theatre and its plaza, the headhouse of a Canada Line station, a laneway on the Downtown Eastside, and the lot where the Kanata Fest and the Drum Is Calling Festival were held.Works variously drew from Coast Salish, formline, and Woodland School forms, presented portraits mixing contemporary and traditional clothing and regalia, and collaged photographic images into abstracted compositions.Commissioned in the spirit of Reconcilation, the project served to increase Indigenous visibility on the unceded territories of the Musqueam, Squamish, and Tsleil-Waututh Nations now known as Vancouver.",2017,"49.27978, -123.114694"
406,Spirits of the Realms,Mural,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=741,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e51945b42e3fb3167b7696f21fbb986b,Downtown,"The City of Vancouver, as part of its Canada 150+ program, commissioned a series of six paint and print murals created by Indigenous artists and artist teams. The public art is part of the City’s ongoing commitment to reconciliation and strengthening of relations between Indigenous communities and Vancouverites.The murals, banners and transparencies were commissioned as part of the City of Vancouver's commemoration of the sesquicentennial of Canada's confederation. Vancouver refocused the national celebration on its indigenous peoples and First Nations, who long precede confederation, and whose resurgence will continue long past the anniversary--hence ""150+"".The public art program issued a call for murals in January 2017. The six successful applicant teams were reviewed and chosen by a selection panel of Indigenous artists and art professionals.The projects were realized throughout the city centre, including projects at the central library, Queen Elizabeth Theatre and its plaza, the headhouse of a Canada Line station, a laneway on the Downtown Eastside, and the lot where the Kanata Fest and the Drum Is Calling Festival were held.Works variously drew from Coast Salish, formline, and Woodland School forms, presented portraits mixing contemporary and traditional clothing and regalia, and collaged photographic images into abstracted compositions.Commissioned in the spirit of Reconcilation, the project served to increase Indigenous visibility on the unceded territories of the Musqueam, Squamish, and Tsleil-Waututh Nations now known as Vancouver.",2017,"49.279724, -123.110671"
407,Bringing Light to Darkness,Mural,In place,36 W Cordova Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=742,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b8901535488740aa32a6b67e770c3fb5,DowntownEastside,"The City of Vancouver, as part of its Canada 150+ program, commissioned a series of six paint and print murals created by Indigenous artists and artist teams. The public art is part of the City’s ongoing commitment to reconciliation and strengthening of relations between Indigenous communities and Vancouverites.The murals, banners and transparencies were commissioned as part of the City of Vancouver's commemoration of the sesquicentennial of Canada's confederation. Vancouver refocused the national celebration on its indigenous peoples and First Nations, who long precede confederation, and whose resurgence will continue long past the anniversary--hence ""150+"".The public art program issued a call for murals in January 2017. The six successful applicant teams were reviewed and chosen by a selection panel of Indigenous artists and art professionals.The projects were realized throughout the city centre, including projects at the central library, Queen Elizabeth Theatre and its plaza, the headhouse of a Canada Line station, a laneway on the Downtown Eastside, and the lot where the Kanata Fest and the Drum Is Calling Festival were held.Works variously drew from Coast Salish, formline, and Woodland School forms, presented portraits mixing contemporary and traditional clothing and regalia, and collaged photographic images into abstracted compositions.Commissioned in the spirit of Reconcilation, the project served to increase Indigenous visibility on the unceded territories of the Musqueam, Squamish, and Tsleil-Waututh Nations now known as Vancouver.",2017,"49.282184, -123.105339"
